,url,title,content,query,date_process
0,https://www.msn.com/en-us/news/politics/trump-is-set-to-announce-reciprocal-tariffs-in-a-risky-move-that-could-reshape-the-economy/ar-AA1C7xDk,"Trump announces huge new tariffs to promote US manufacturing, risking inflation and trade wars - (Published 8 hour(s), 37 minute(s) ago)",The plan includes a 10% baseline tax on imports from all countries and higher tariff rates on dozens of nations that run trade surpluses with the United States.,Trump trade war 2025,04-03-2025
1,https://www.msn.com/en-us/politics/government/answering-your-questions-about-president-trump-s-reciprocal-tariffs/ar-AA1Cbd9x,"Answering your questions about President Trump's vast new tariffs - (Published 9 hour(s), 25 minute(s) ago)","WASHINGTON (AP) — After weeks of anticipation and speculation, President Donald Trump followed through on his tariff threats by declaring on Wednesday a 10% baseline tax on imports from all countries ...",Trump China tariffs 2025,04-03-2025
2,https://www.msn.com/en-us/money/markets/trump-announces-10-tariff-on-all-imports-ratcheting-up-pressure-in-global-trade-war/ar-AA1Cb1fq,"Trump announces 10% tariff on all imports, ratcheting up pressure in global trade war - (Published 11 hour(s), 55 minute(s) ago)","President Donald Trump and his advisers landed on tariffs of at least 10% on imports, with nearly 60 countries and the EU facing even higher taxes.",Trump administration trade policy 2025,04-03-2025
3,https://www.msn.com/en-us/money/other/china-restricts-companies-from-investing-in-us-as-tensions-rise/ar-AA1C8RLz,"China Restricts Companies From Investing in US as Tensions Rise - (Published 12 hour(s), 28 minute(s) ago)","China has taken steps to restrict local companies from investing in the US, according to people familiar with the matter, in a move that could give Beijing more leverage for potential trade ...",US-China trade tensions 2025,04-03-2025
4,https://www.reuters.com/world/us/trump-escalate-global-trade-tensions-with-new-reciprocal-tariffs-us-trading-2025-04-02/,"Trump's sweeping import tariffs amp up global trade war - (Published 9 hour(s), 10 minute(s) ago)",Trading partners are expected to respond with countermeasures of their own that could lead to dramatically higher prices for everything from bicycles to wine.,Trump trade war impact on global economy 2025,04-03-2025
5,https://www.reuters.com/markets/trump-tariffs-pile-stress-ailing-world-economy-2025-04-02/,"Trump tariffs pile stress on ailing world economy - (Published 14 hour(s), 13 minute(s) ago)","The latest round of U.S. trade tariffs unveiled on Wednesday will sap yet more vigour from a world economy barely recovered from the post-pandemic inflation surge, weighed down by record debt and ...",Trump tariffs economic effects 2025,04-03-2025
6,https://www.nytimes.com/2025/04/02/technology/trump-tariffs-apple-iphones.html,"Trump’s New Tariffs Test Apple’s Global Supply Chain - (Published 13 hour(s), 55 minute(s) ago)",The iPhone maker spent years trying to move production of some products out of China to avoid tariffs. But now that may not matter.,Trump trade war supply chains 2025,04-03-2025
7,https://www.msn.com/en-us/money/markets/contributor-trumps-tariff-strategy-is-worse-than-a-gamble-its-a-surefire-loser/ar-AA1CaLvo,"Trump’s tariff strategy is worse than a gamble. It’s a surefire loser - (Published 15 hour(s), 0 minute(s) ago)","How do I know? Because we’ve been here before, watching the fiasco of Trump's first-term trade war with China.",Trump trade war agriculture 2025,04-03-2025
8,https://www.msn.com/en-us/money/markets/kentuckys-9-billion-bourbon-industry-caught-in-the-crossfire-of-trump-trade-war/ar-AA1C9Chl,"Kentucky's $9 billion bourbon industry caught in the crossfire of Trump trade war - (Published 21 hour(s), 30 minute(s) ago)",The bourbon industry may take a hit in the coming weeks as the European Union considers reinstating tariffs as part of the global trade war.,Trump trade war manufacturing sector 2025,04-03-2025
9,https://www.msn.com/en-us/news/politics/trump-is-right-everyone-will-remember-the-day-he-launched-a-total-trade-war/ar-AA1CbYbY,"Trump is right: Everyone will remember the day he launched a total trade war - (Published 7 hour(s), 30 minute(s) ago)",Trump’s two terms are proof that the benefits of globalization are not universally shared. Many of the swing states Trump won in 2016 and 2024 are scarred by industrial decline. Voters there remember ...,Trump trade policy 2025 election,04-03-2025
10,https://www.msn.com/en-us/money/markets/why-canada-and-mexico-are-missing-from-trumps-tariff-chart/ar-AA1CbAmP,"Why Canada and Mexico are missing from Trump's tariff chart - (Published 9 hour(s), 28 minute(s) ago)",Donald Trump's latest round of tariffs had two notable omissions: Mexico and Canada. But the two nations are still subject to pre-existing tariffs.,Trump tariffs Canada Mexico 2025,04-03-2025
11,https://www.msn.com/en-us/money/markets/trump-s-latest-trade-war-salvo-is-set-to-slam-markets/ar-AA1C0WoI,"Trump's latest trade war salvo is set to slam markets - (Published 22 hour(s), 19 minute(s) ago)","President Donald Trump has been trying to rally his supporters behind his so-called reciprocal tariffs, which he says will rectify years of unfair trading practices.",Trump trade war European Union 2025,04-03-2025
12,https://www.msn.com/en-us/money/markets/trade-and-labor-associations-analysts-on-trumps-reciprocal-tariffs/ar-AA1CbzlX,"Trade and Labor Associations, Analysts on Trump's Reciprocal Tariffs - (Published 10 hour(s), 24 minute(s) ago)","(Reuters) -President Donald Trump said on Wednesday he would impose a 10% baseline tariff on all imports to the United States and higher duties on some of the country's biggest trading partners, a ...",Trump trade war 2025,04-03-2025
13,https://www.msn.com/en-us/money/markets/boost-to-us-manufacturing-or-slide-into-recession-deep-division-on-where-trump-tariffs-will-lead/ar-AA1CbG3z,"Boost to U.S. manufacturing or slide into recession? Deep division on where Trump tariffs will lead - (Published 8 hour(s), 48 minute(s) ago)",Trump said he was acting to bring in hundreds of billions in new revenue to the U.S. government and restore fairness to global trade.,Trump China tariffs 2025,04-03-2025
14,https://www.usatoday.com/story/business/agricultural/2025/04/02/holmes-wayne-county-ohio-farmer-reacts-to-tariffs-experts-cautious-soybeans-shreve-trump/82655691007/,"Tariff trade tension: What happens globally impacts Holmes and Wayne farmers - (Published Apr 2, 2025)",Industry experts and farmers alike are unsure what the future will bring in regard to the tariff the Trump administration is proposing.,US-China trade tensions 2025,04-03-2025
15,https://www.livemint.com/economy/trump-tariffs-26-us-tariffs-on-india-india-us-bilateral-trade-agreement-us-reciprocal-tariffs-india-economy-impact-11743632910383.html,"Trump’s tariff strike: India hit with 26% duty as trade war escalates - (Published 10 hour(s), 59 minute(s) ago)","Trump's trade war has subjected India to a 26% tariff on exports to the US, prompting concerns over trade relations between India and its largest export destination. .Ongoing negotiations for an India ...",Trump trade war impact on global economy 2025,04-03-2025
16,https://www.msn.com/en-us/money/markets/analysis-trump-tariffs-pile-stress-on-ailing-world-economy/ar-AA1Cba9E,"Analysis-Trump Tariffs Pile Stress on Ailing World Economy - (Published 13 hour(s), 12 minute(s) ago)","LONDON (Reuters) - The latest round of U.S. trade tariffs unveiled on Wednesday will sap yet more vigour from a world economy barely recovered from the post-pandemic inflation surge, weighed down by ...",Trump tariffs economic effects 2025,04-03-2025
17,https://www.msn.com/en-us/money/markets/trump-just-massively-escalated-his-trade-war-here-s-what-he-announced/ar-AA1C7qFv,"Trump just massively escalated his trade war. Here’s what he announced - (Published 12 hour(s), 2 minute(s) ago)","President Donald Trump is stepping up his massive global trade war, a move that’s certain to weigh on Americans’ wallets and could push the US economy into a painful recession.",Trump trade war supply chains 2025,04-03-2025
18,https://www.msn.com/en-us/money/markets/trumps-sweeping-tariffs-could-mean-a-us-recession-much-higher-inflation-economists/ar-AA1CbuZv,"Trump's sweeping tariffs could mean a US recession, much higher inflation: Economists - (Published 10 hour(s), 42 minute(s) ago)","The sweeping tariffs President Donald Trump announced Wednesday, combined with his other import levies, likely would plunge the nation and world into a deep recession if he follows through on the plan ...",Trump tariffs inflation 2025,04-03-2025
19,https://www.nytimes.com/2025/04/02/business/economy/trump-china-new-tariffs.html,"China Will Face at Least 54 Percent Tariffs With Trump’s New Order - (Published 8 hour(s), 7 minute(s) ago)",The 34 percent tariff announced on Wednesday is in addition to two rounds of import taxes the president already imposed since January.,Trump trade war WTO 2025,04-03-2025
20,https://www.nytimes.com/2025/04/02/opinion/trump-tariffs-mexico-tequila-border.html,"A Tequila Ban a Century Ago Predicts the Chaos of Trump’s Tariffs - (Published 12 hour(s), 34 minute(s) ago)",Trump’s threat to impose tariffs on Mexico undermines his stated intention to eliminate the “chaos” at America’s southern border.,Trump tariffs Canada Mexico 2025,04-03-2025
21,https://www.msn.com/en-us/money/markets/trump-unveils-his-double-digit-liberation-day-reciprocal-tariffs-on-china-taiwan-and-a-slew-of-other-key-trading-partners/ar-AA1CaThc,"Trump unveils his double-digit 'Liberation Day' reciprocal tariffs on China, Taiwan, and a slew of other key trading partners - (Published 14 hour(s), 30 minute(s) ago)","President Donald Trump announced reciprocal tariffs and a 25% tariff on car imports on his much-anticipated ""Liberation Day"" tariff rollout.",Trump China tariffs 2025,04-03-2025
22,https://www.reuters.com/markets/trump-tariffs-draw-global-promises-counter-measures-2025-04-03/,"Trump tariffs: List of global responses and countermeasures - (Published 9 hour(s), 43 minute(s) ago)",Governments around the world pledged counter measures on the U.S. after President Donald Trump unveiled on Wednesday a new baseline 10% tariff on goods from all countries plus reciprocal tariffs on ...,Trump administration trade policy 2025,04-03-2025
23,https://www.livemint.com/economy/trump-tariff-war-us-reciprocal-tariffs-global-trade-indian-industry-bilateral-trade-agreement-exports-google-tax-11743578946850.html,"On eve of Trump’s tariff war, Indian industry braces for severe global consequences - (Published 14 hour(s), 27 minute(s) ago)","As US President Donald Trump's tariff war looms, Indian companies brace for significant disruptions in global trade. Industry experts warn of lasting consequences, as reciprocal tariffs threaten to ...",Trump trade war impact on global economy 2025,04-03-2025
24,https://www.msn.com/en-us/money/markets/trump-s-tariffs-are-having-a-surprising-impact-on-the-us-dollar-here-s-how-investors-can-benefit/ar-AA1CaHbV,"Trump’s tariffs are having a surprising impact on the U.S. dollar. Here’s how investors can benefit. - (Published 11 hour(s), 50 minute(s) ago)","The buck is weakening despite Trump’s tariffs. To protect themselves, investors should consider buying shares of companies that do a lot of business abroad, SocGen says.",Trump tariffs economic effects 2025,04-03-2025
25,https://www.nytimes.com/2025/04/02/us/politics/trump-tariffs-global-trade.html,"Trump Says Global Trade Is Unfair. Does He Have a Point? - (Published 13 hour(s), 27 minute(s) ago)",President Trump says that countries have been ripping off the United States for decades. There is some truth to that argument — but also a lot of hypocrisy.,Trump trade war WTO 2025,04-03-2025
26,https://www.msn.com/en-us/news/world/denmark-leader-visits-greenland-in-trump-tug-of-war/ar-AA1C8IL2,"Denmark Leader Visits Greenland in Trump Tug-of-War - (Published Apr 2, 2025)",Mette Frederiksen's visit comes just days after Vice President JD Vance toured the U.S. Pituffik Space Base in Greenland.,Trump trade war 2025,04-03-2025
27,https://www.msn.com/en-us/money/markets/what-is-a-reciprocal-tariff-breaking-down-trumps-tariff-plans/ar-AA1CbfNo,"What is a reciprocal tariff? Breaking down Trump's tariff plans - (Published 11 hour(s), 43 minute(s) ago)",President Donald Trump said he'll be rolling out reciprocal tariffs. Here's what that means for the U.S. and its trading partners.,Trump China tariffs 2025,04-03-2025
28,https://www.moneycontrol.com/world/chinese-factories-in-mexico-thrive-despite-tariffs-fuelling-trade-tensions-with-trump-administration-article-12982452.html,"Chinese factories in Mexico thrive despite tariffs, fuelling trade tensions with Trump administration - (Published Apr 1, 2025)","As Trump targets China and Mexico with new tariffs, Chinese companies quietly expand in northern Mexico to access the US market tariff-free.",US-China trade tensions 2025,04-03-2025
29,https://www.msn.com/en-us/money/markets/trump-announces-sweeping-tariffs-on-countries-around-world/ar-AA1Cb3T6,"Trump Announces Sweeping Tariffs in Bid to Reshape U.S. Economy and World Order - (Published 14 hour(s), 44 minute(s) ago)",American businesses have struggled in recent weeks to plan ahead as Trump’s tariff threats have injected so much uncertainty into the ir supply chains. Stock indices have dipped. Expectations of ...,Trump tariffs economic effects 2025,04-03-2025
30,https://9to5mac.com/2025/04/02/trump-tariffs-apple-stock-down/,"Trump tariffs attack key parts of the Apple supply chain, Apple stock drops 7% in after-hours trading - (Published 12 hour(s), 42 minute(s) ago)",The full extent of the U.S. government’s impeding tariffs were revealed by the Trump administration today in a press ...,Trump trade war supply chains 2025,04-03-2025
31,https://www.msn.com/en-ca/money/markets/tariffs-explained-impacts-for-you-as-trump-confirms-worldwide-tariff-wave/ar-AA1yZYxl,"Tariffs Explained: Impacts for You as Trump Confirms Worldwide Tariff Wave - (Published 11 hour(s), 20 minute(s) ago)","After considerable delays and widespread market uncertainty, President Donald Trump revealed a major new wave of tariffs on April 2.",Trump tariffs inflation 2025,04-03-2025
32,https://www.indiatvnews.com/news/world/will-do-everything-to-avoid-trade-war-how-world-leaders-reacted-to-donald-trump-s-reciprocal-tariffs-2025-04-03-983635,"'Will do everything to avoid trade war': How world leaders reacted to Donald Trump’s reciprocal tariffs - (Published 9 hour(s), 36 minute(s) ago)","Italy's conservative Premier Giorgia Meloni described the new 20 per cent tariffs against the European Union as “wrong,” saying they benefit neither side.",Trump trade war WTO 2025,04-03-2025
33,https://www.msn.com/en-us/money/companies/canada-stares-down-consequences-of-trump-tariff-war-job-losses-grocery-price-hikes-possible-recession/ar-AA1C8xKS,"Canada stares down consequences of Trump tariff war: Job losses, grocery price hikes, possible recession - (Published Apr 2, 2025)","Canadians are bracing alongside other geopolitical partners as President Donald Trump prepares to unleash his next round of tariffs in what he is calling ""liberation day."" ...",Trump trade policy 2025 election,04-03-2025
34,https://www.msn.com/en-us/money/markets/trump-s-tariff-plan-is-going-to-hurt/ar-AA1Cbbea,"Trump’s Tariff Plan Is Going to Hurt - (Published 12 hour(s), 14 minute(s) ago)","The surprisingly expansive levies on imports will open up a future of high prices. This is an edition of The Atlantic Daily, a newsletter that guides you through the biggest stories of the day, helps ...",Trump tariffs Canada Mexico 2025,04-03-2025
35,https://www.investing.com/news/economy-news/china-restricts-investments-in-the-us-amid-rising-tensions--bloomberg-3962483,"China restricts investments in the US amid rising tensions - Bloomberg - (Published Apr 2, 2025)","Investing.com -- China has imposed new restrictions on local companies seeking to invest in the US, a move that could heighten tensions between the two economic giants, according to a report from ...",US-China trade tensions 2025,04-03-2025
36,https://www.msn.com/en-gb/video/news/trumps-tariff-bazooka-how-did-the-pverious-trade-war-impact-the-economy/vi-AA1CaL83,"Trump's tariff bazooka: How did the pverious trade war impact the economy? - (Published 15 hour(s), 8 minute(s) ago)","With US President poised to unveil his ""Liberation Day"" tariff plan, Yuka Royer takes a look at how world leaders have been saying and how the trade war in his previous term impacted the US economy ...",Trump trade war impact on global economy 2025,04-03-2025
37,https://www.msn.com/en-us/money/markets/the-impact-of-tariffs-is-coming-which-households-will-trumps-new-plan-cost-most/ar-AA1CaJSl,"The impact of tariffs is coming. Which households will Trump's new plan cost most? - (Published 15 hour(s), 31 minute(s) ago)",President Trump says his new tariffs will grow the U.S. economy. But how much will this growth plan cost you? What you need to know.,Trump tariffs economic effects 2025,04-03-2025
38,https://www.msn.com/en-us/money/markets/nike-falls-as-trump-s-reciprocal-tariff-plan-sinks-retailers/ar-AA1Cb2bE,"Trump Tariffs Poised to Make Nike, Adidas Shoes More Expensive - (Published 14 hour(s), 21 minute(s) ago)","The world’s largest footwear and apparel companies are facing a shock to their supply chains after President Donald Trump targeted Vietnam, a critical production hub, with tariffs this week.",Trump trade war supply chains 2025,04-03-2025
